Bank,Slab_Type,Rate,Date
HDFC,Cash Buying,94.24,2026-03-24
SBI,"less than $2,500",92.52,2026-03-24
SBI,"$2,500 to less than $5,000",92.52,2026-03-24
SBI,"$5,000 to less than $25,000",92.62,2026-03-24
SBI,"$25,000 to less than $100,000",92.73,2026-03-24
HDFC,Cash Buying,94.24,2026-03-26
SBI,"less than $2,500",93.24,2026-03-26
SBI,"$2,500 to less than $5,000",93.24,2026-03-26
SBI,"$5,000 to less than $25,000",93.34,2026-03-26
SBI,"$25,000 to less than $100,000",93.45,2026-03-26
HDFC,Cash Buying,94.24,2026-03-27
SBI,"less than $2,500",93.24,2026-03-27
SBI,"$2,500 to less than $5,000",93.24,2026-03-27
SBI,"$5,000 to less than $25,000",93.34,2026-03-27
SBI,"$25,000 to less than $100,000",93.45,2026-03-27
HDFC,Cash Buying,94.24,2026-03-28
SBI,"less than $2,500",93.74,2026-03-28
SBI,"$2,500 to less than $5,000",93.74,2026-03-28
SBI,"$5,000 to less than $25,000",93.84,2026-03-28
SBI,"$25,000 to less than $100,000",94.27,2026-03-28
HDFC,Cash Buying,94.24,2026-03-29
SBI,"less than $2,500",93.74,2026-03-29
SBI,"$2,500 to less than $5,000",93.74,2026-03-29
SBI,"$5,000 to less than $25,000",93.84,2026-03-29
SBI,"$25,000 to less than $100,000",94.27,2026-03-29
HDFC,Cash Buying,94.24,2026-03-30
SBI,"less than $2,500",93.74,2026-03-30
SBI,"$2,500 to less than $5,000",93.74,2026-03-30
SBI,"$5,000 to less than $25,000",93.84,2026-03-30
SBI,"$25,000 to less than $100,000",94.27,2026-03-30
HDFC,Cash Buying,94.24,2026-03-31
SBI,"less than $2,500",92.94,2026-03-31
SBI,"$2,500 to less than $5,000",92.94,2026-03-31
SBI,"$5,000 to less than $25,000",93.04,2026-03-31
SBI,"$25,000 to less than $100,000",93.15,2026-03-31
HDFC,Cash Buying,94.24,2026-04-01
SBI,"less than $2,500",92.94,2026-04-01
SBI,"$2,500 to less than $5,000",92.94,2026-04-01
SBI,"$5,000 to less than $25,000",93.04,2026-04-01
SBI,"$25,000 to less than $100,000",93.15,2026-04-01
HDFC,Cash Buying,94.24,2026-04-02
SBI,"less than $2,500",92.77,2026-04-02
SBI,"$2,500 to less than $5,000",92.77,2026-04-02
SBI,"$5,000 to less than $25,000",92.87,2026-04-02
SBI,"$25,000 to less than $100,000",92.98,2026-04-02
HDFC,Cash Buying,94.24,2026-04-03
SBI,"less than $2,500",92.3,2026-04-03
SBI,"$2,500 to less than $5,000",92.3,2026-04-03
SBI,"$5,000 to less than $25,000",92.42,2026-04-03
SBI,"$25,000 to less than $100,000",92.53,2026-04-03
HDFC,Cash Buying,94.24,2026-04-04
SBI,"less than $2,500",91.87,2026-04-04
SBI,"$2,500 to less than $5,000",91.87,2026-04-04
SBI,"$5,000 to less than $25,000",91.99,2026-04-04
SBI,"$25,000 to less than $100,000",92.1,2026-04-04
HDFC,Cash Buying,94.24,2026-04-05
SBI,"less than $2,500",91.87,2026-04-05
SBI,"$2,500 to less than $5,000",91.87,2026-04-05
SBI,"$5,000 to less than $25,000",91.99,2026-04-05
SBI,"$25,000 to less than $100,000",92.1,2026-04-05
HDFC,Cash Buying,94.24,2026-04-06
SBI,"less than $2,500",91.87,2026-04-06
SBI,"$2,500 to less than $5,000",91.87,2026-04-06
SBI,"$5,000 to less than $25,000",91.99,2026-04-06
SBI,"$25,000 to less than $100,000",92.1,2026-04-06
HDFC,Cash Buying,94.24,2026-04-07
SBI,"less than $2,500",92.26,2026-04-07
SBI,"$2,500 to less than $5,000",92.26,2026-04-07
SBI,"$5,000 to less than $25,000",92.38,2026-04-07
SBI,"$25,000 to less than $100,000",92.49,2026-04-07
HDFC,Cash Buying,94.24,2026-04-08
SBI,"less than $2,500",92.2,2026-04-08
SBI,"$2,500 to less than $5,000",92.2,2026-04-08
SBI,"$5,000 to less than $25,000",92.32,2026-04-08
SBI,"$25,000 to less than $100,000",92.43,2026-04-08
HDFC,Cash Buying,94.24,2026-04-09
SBI,"less than $2,500",91.78,2026-04-09
SBI,"$2,500 to less than $5,000",91.78,2026-04-09
SBI,"$5,000 to less than $25,000",91.9,2026-04-09
SBI,"$25,000 to less than $100,000",92.01,2026-04-09
HDFC,Cash Buying,94.24,2026-04-10
SBI,"less than $2,500",91.85,2026-04-10
SBI,"$2,500 to less than $5,000",91.85,2026-04-10
SBI,"$5,000 to less than $25,000",91.97,2026-04-10
SBI,"$25,000 to less than $100,000",92.08,2026-04-10
HDFC,Cash Buying,94.24,2026-04-11
SBI,"less than $2,500",91.92,2026-04-11
SBI,"$2,500 to less than $5,000",91.92,2026-04-11
SBI,"$5,000 to less than $25,000",92.04,2026-04-11
SBI,"$25,000 to less than $100,000",92.15,2026-04-11
HDFC,Cash Buying,94.24,2026-04-12
SBI,"less than $2,500",91.92,2026-04-12
SBI,"$2,500 to less than $5,000",91.92,2026-04-12
SBI,"$5,000 to less than $25,000",92.04,2026-04-12
SBI,"$25,000 to less than $100,000",92.15,2026-04-12
HDFC,Cash Buying,94.24,2026-04-13
SBI,"less than $2,500",91.92,2026-04-13
SBI,"$2,500 to less than $5,000",91.92,2026-04-13
SBI,"$5,000 to less than $25,000",92.04,2026-04-13
SBI,"$25,000 to less than $100,000",92.15,2026-04-13
HDFC,Cash Buying,94.24,2026-04-14
SBI,"less than $2,500",92.57,2026-04-14
SBI,"$2,500 to less than $5,000",92.57,2026-04-14
SBI,"$5,000 to less than $25,000",92.69,2026-04-14
SBI,"$25,000 to less than $100,000",92.8,2026-04-14
HDFC,Cash Buying,94.24,2026-04-15
SBI,"less than $2,500",92.57,2026-04-15
SBI,"$2,500 to less than $5,000",92.57,2026-04-15
SBI,"$5,000 to less than $25,000",92.69,2026-04-15
SBI,"$25,000 to less than $100,000",92.8,2026-04-15
HDFC,Cash Buying,94.24,2026-04-16
SBI,"less than $2,500",92.57,2026-04-16
SBI,"$2,500 to less than $5,000",92.57,2026-04-16
SBI,"$5,000 to less than $25,000",92.69,2026-04-16
SBI,"$25,000 to less than $100,000",92.8,2026-04-16
HDFC,Cash Buying,94.24,2026-04-17
SBI,"less than $2,500",92.39,2026-04-17
SBI,"$2,500 to less than $5,000",92.39,2026-04-17
SBI,"$5,000 to less than $25,000",92.51,2026-04-17
SBI,"$25,000 to less than $100,000",92.62,2026-04-17
HDFC,Cash Buying,94.24,2026-04-18
SBI,"less than $2,500",91.75,2026-04-18
SBI,"$2,500 to less than $5,000",91.75,2026-04-18
SBI,"$5,000 to less than $25,000",91.87,2026-04-18
SBI,"$25,000 to less than $100,000",91.98,2026-04-18
HDFC,Cash Buying,94.24,2026-04-19
SBI,"less than $2,500",91.75,2026-04-19
SBI,"$2,500 to less than $5,000",91.75,2026-04-19
SBI,"$5,000 to less than $25,000",91.87,2026-04-19
SBI,"$25,000 to less than $100,000",91.98,2026-04-19
